real_name,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015
411,1775347.27640259,914126.0956430825,719725.6670947934,213289.07024776726,99225.7491873638,253581.6017432667
412,2438025.5045170723,1160563.4468468428,1019268.4728723841,402490.71410070825,181938.8082071948,438966.11307842453
413,3450971.964266416,1894631.4099560834,1619311.4185006598,668705.7896925452,419451.85538901284,958693.4294404229
414,2342838.4932338945,1223066.9844293152,1011875.5746892177,365314.3519518557,197965.04786291887,474043.982310357
415,2090829.6105979802,1094752.935070273,882655.0344607676,296192.78730995266,154655.56601759073,377361.30599890545
416,2320213.700882451,1089846.7171911204,926379.5929312853,329940.1309966042,129045.78249077521,322517.99012465467
417,2380523.623647522,1161494.0398572744,1003599.7778729767,432884.588071382,208526.7485074511,474543.77892373863
418,3335685.8222539574,1704722.6780458237,1483252.0284809484,582295.5977014501,316927.58358050697,754715.6437719824
419,2614900.7642554496,1399943.7277616127,1232794.7465933023,540437.8016196138,328895.2780608868,745784.737937088
420,2047194.1645822842,1124495.8682639534,939054.8292162237,382848.2272673441,236932.81743634128,542194.8524417824
421,1141398.2883660998,565297.7576569379,462443.4925240993,155665.44771448965,68734.24515271519,174127.89571803747
422,3521475.3416186026,2048969.8553055043,1785774.506287442,802804.7717282876,557810.5819289909,1253214.2040636858
423,2163583.386661674,1239883.9577609946,1041171.8149843796,397693.99972959945,270205.00659565924,630273.6326327223
424,2484331.2525843456,1291044.3308941824,1045845.383650978,403407.43552207376,208837.43721668233,485783.7081104581
425,1613583.307378865,799562.1863279627,681565.5109420435,251631.35724346832,122291.01114878291,292968.1051721375
426,1545107.8422669887,826661.1635330018,693625.9281891069,283228.7857121112,166687.45815964535,380553.55471704056
427,2064724.629954528,999307.1540986589,830718.1610295945,278598.88675915217,114770.40864155727,298523.6541718008
428,2548200.0828710254,1375839.9229459437,1127328.6879938252,445327.0191509185,257802.94381023673,592016.351739189
429,1527532.745278889,752899.894364036,625162.2810208588,219055.61998301774,99289.80843710946,238662.8818220276
430,1931818.2133081376,1032434.9167278598,845887.0888532402,302592.13694100577,172988.00775341692,410008.06454130047
431,2253579.081115072,1130576.4575143524,907281.1202566501,324387.2504033174,145790.86947690547,353991.9756300309
432,2187206.854442039,1105751.6615227314,951998.3508912143,398364.99404071894,209732.09352484238,477581.9781847651
433,1527162.2043121932,784549.5750877527,673718.6972633133,260793.21716819832,142147.32470442346,331033.69442010997
434,2740289.653151621,1543712.4376089382,1270770.3551523117,516417.7379939916,331646.7021274203,748885.1253688171
435,1702943.3672994573,872773.7755770448,688357.3107241739,242273.6146488701,115260.55798387215,268187.63961407944
436,2763118.996769821,1394849.1156713876,1176543.7096578171,434502.8169602384,217870.19498242196,526272.696739296
437,2412528.4464264815,1145423.3001750347,973181.7155789214,361645.84762648126,150656.66493983445,364028.5939592548
438,2347508.6423019087,1231337.9991649734,1016193.497495761,369361.0827810892,202289.95851534026,479084.6304544485
439,3440952.2664340073,1808186.9616074045,1523726.2186821832,614681.9666551087,345315.5494440055,794568.1779940379
440,4047829.874654836,2103069.5943039195,1775652.9878825687,703150.2958285812,385104.5515205607,897548.6115770513
441,2020586.8846984745,1071220.4419723728,935447.990795474,391667.1306452743,232808.61506487726,538623.7401973946
442,2612102.328064327,1328243.293961783,1089889.1440382763,374281.1579918857,183782.8386342521,448699.12192766246
443,2833849.079913381,1403752.1617365794,1164455.66783972,431980.08079234674,198275.04740018141,477782.1258437586
444,2947927.423703645,1544646.2638176605,1349895.768843466,566367.521374319,328561.81451842876,756006.9602916096
445,2392479.4656985146,1163233.8136614552,989635.236847233,387510.79613653134,178008.24384790385,422541.4118133115
446,2149886.6078346097,987448.483176056,855007.6209553762,328223.75710615265,126062.10897982371,300790.4874367504
447,2571230.4619518775,1304598.0393062916,1095615.74711599,409879.91097478813,208931.78894415274,499380.217869066
448,2588053.3252353244,1359148.8988376008,1143886.9486652038,425824.1996911123,240096.53202861123,567042.2478792185
449,2190354.996822862,1208248.5630674774,1017442.8826366176,393243.19312011317,248897.6639252338,574516.922505052
450,2868892.036201128,1563319.5698988452,1388713.8825262825,635403.791303373,401584.18141190597,901947.7481966952
451,2494704.437898726,1383995.4130013597,1184970.3882080521,512502.3796454898,325665.89664796105,736985.4494780228
452,2295247.78191655,1170089.3968541676,1006579.7050837278,423952.406842645,228431.19331911957,520146.4971772243
453,2389949.2413130566,1183936.246981337,972777.7970195073,323573.177520106,142815.58813245443,356815.84805714287
454,2742127.699528046,1431552.7359760588,1230382.6524330424,523389.0942246855,296064.2588731931,671127.9236314552
455,1928056.2417577684,1016841.349377378,821072.2210339464,285531.8857656068,154696.09644586014,374278.9900815738
456,2621380.6155460044,1433077.8869687403,1219632.8978958938,485058.37292719714,301722.51803437923,700752.927990893
